shift,shift_deg,exact_omega,linear_omega,abs_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.01745329,1.00000000,0.01745307,0.01745329,0.00000022
0.03490659,2.00000000,0.03490481,0.03490659,0.00000177
0.05235988,3.00000000,0.05235390,0.05235988,0.00000598
0.06981317,4.00000000,0.06979899,0.06981317,0.00001418
0.08726646,5.00000000,0.08723877,0.08726646,0.00002769
0.10471976,6.00000000,0.10467191,0.10471976,0.00004784
0.12217305,7.00000000,0.12209708,0.12217305,0.00007597
0.13962634,8.00000000,0.13951295,0.13962634,0.00011339
0.15707963,9.00000000,0.15691819,0.15707963,0.00016144
0.17453293,10.00000000,0.17431149,0.17453293,0.00022144
0.19198622,11.00000000,0.19169151,0.19198622,0.00029471
0.20943951,12.00000000,0.20905693,0.20943951,0.00038258
0.22689280,13.00000000,0.22640643,0.22689280,0.00048638
0.24434610,14.00000000,0.24373869,0.24434610,0.00060741
0.26179939,15.00000000,0.26105238,0.26179939,0.00074700
0.27925268,16.00000000,0.27834620,0.27925268,0.00090648
0.29670597,17.00000000,0.29561882,0.29670597,0.00108715
0.31415927,18.00000000,0.31286893,0.31415927,0.00129034
0.33161256,19.00000000,0.33009521,0.33161256,0.00151735
0.34906585,20.00000000,0.34729636,0.34906585,0.00176950
0.36651914,21.00000000,0.36447105,0.36651914,0.00204809
0.38397244,22.00000000,0.38161799,0.38397244,0.00235444
0.40142573,23.00000000,0.39873587,0.40142573,0.00268986
0.41887902,24.00000000,0.41582338,0.41887902,0.00305564
0.43633231,25.00000000,0.43287923,0.43633231,0.00345309
0.45378561,26.00000000,0.44990211,0.45378561,0.00388350
0.47123890,27.00000000,0.46689073,0.47123890,0.00434817
0.48869219,28.00000000,0.48384379,0.48869219,0.00484840
0.50614548,29.00000000,0.50076001,0.50614548,0.00538547
0.52359878,30.00000000,0.51763809,0.52359878,0.00596069
0.54105207,31.00000000,0.53447675,0.54105207,0.00657532
0.55850536,32.00000000,0.55127471,0.55850536,0.00723065
0.57595865,33.00000000,0.56803069,0.57595865,0.00792796
0.59341195,34.00000000,0.58474341,0.59341195,0.00866854
0.61086524,35.00000000,0.60141160,0.61086524,0.00945364
0.62831853,36.00000000,0.61803399,0.62831853,0.01028454
0.64577182,37.00000000,0.63460931,0.64577182,0.01116251
0.66322512,38.00000000,0.65113631,0.66322512,0.01208881
0.68067841,39.00000000,0.66761372,0.68067841,0.01306469
0.69813170,40.00000000,0.68404029,0.69813170,0.01409141
0.71558499,41.00000000,0.70041476,0.71558499,0.01517023
0.73303829,42.00000000,0.71673590,0.73303829,0.01630239
0.75049158,43.00000000,0.73300245,0.75049158,0.01748912
0.76794487,44.00000000,0.74921319,0.76794487,0.01873168
0.78539816,45.00000000,0.76536686,0.78539816,0.02003130
0.80285146,46.00000000,0.78146226,0.80285146,0.02138920
0.82030475,47.00000000,0.79749814,0.82030475,0.02280661
0.83775804,48.00000000,0.81347329,0.83775804,0.02428475
0.85521133,49.00000000,0.82938649,0.85521133,0.02582485
0.87266463,50.00000000,0.84523652,0.87266463,0.02742810
0.89011792,51.00000000,0.86102219,0.89011792,0.02909572
0.90757121,52.00000000,0.87674229,0.90757121,0.03082892
0.92502450,53.00000000,0.89239563,0.92502450,0.03262888
0.94247780,54.00000000,0.90798100,0.94247780,0.03449680
0.95993109,55.00000000,0.92349723,0.95993109,0.03643386
0.97738438,56.00000000,0.93894313,0.97738438,0.03844126
0.99483767,57.00000000,0.95431752,0.99483767,0.04052015
1.01229097,58.00000000,0.96961924,1.01229097,0.04267173
1.02974426,59.00000000,0.98484712,1.02974426,0.04489714
1.04719755,60.00000000,1.00000000,1.04719755,0.04719755
1.06465084,61.00000000,1.01507673,1.06465084,0.04957412
1.08210414,62.00000000,1.03007615,1.08210414,0.05202799
1.09955743,63.00000000,1.04499713,1.09955743,0.05456030
1.11701072,64.00000000,1.05983853,1.11701072,0.05717219
1.13446401,65.00000000,1.07459922,1.13446401,0.05986480
1.15191731,66.00000000,1.08927807,1.15191731,0.06263924
1.16937060,67.00000000,1.10387397,1.16937060,0.06549663
1.18682389,68.00000000,1.11838581,1.18682389,0.06843808
1.20427718,69.00000000,1.13281247,1.20427718,0.07146471
1.22173048,70.00000000,1.14715287,1.22173048,0.07457760
1.23918377,71.00000000,1.16140591,1.23918377,0.07777786
1.25663706,72.00000000,1.17557050,1.25663706,0.08106656
1.27409035,73.00000000,1.18964557,1.27409035,0.08444478
1.29154365,74.00000000,1.20363005,1.29154365,0.08791360
1.30899694,75.00000000,1.21752286,1.30899694,0.09147408
1.32645023,76.00000000,1.23132295,1.32645023,0.09512728
1.34390352,77.00000000,1.24502927,1.34390352,0.09887425
1.36135682,78.00000000,1.25864078,1.36135682,0.10271603
1.37881011,79.00000000,1.27215644,1.37881011,0.10665367
1.39626340,80.00000000,1.28557522,1.39626340,0.11068818
1.41371669,81.00000000,1.29889610,1.41371669,0.11482060
1.43116999,82.00000000,1.31211806,1.43116999,0.11905193
1.44862328,83.00000000,1.32524010,1.44862328,0.12338318
1.46607657,84.00000000,1.33826121,1.46607657,0.12781536
